book_number,testament,korean_name,english_name,youtube_url,author,chapters_count,summary
58,NEW,빌립보서,Philippians,https://www.youtube.com/watch?v=P2stOv4EuD8,바울,4,빌립보서
59,NEW,골로새서,Colossians,https://www.youtube.com/watch?v=PToo8H3ESmI,바울,4,골로새서
60,NEW,데살로니가전서,1 Thessalonians,https://www.youtube.com/watch?v=78mjPkm3gNU,바울,5,데살로니가전서
61,NEW,데살로니가후서,2 Thessalonians,https://www.youtube.com/watch?v=aSvUcBhd4hQ,바울,3,데살로니가후서
62,NEW,디모데전서,1 Timothy,https://www.youtube.com/watch?v=TPaaXttsgzY,바울,6,디모데전서
63,NEW,디모데후서,2 Timothy,https://www.youtube.com/watch?v=2rbLGN90JyE,바울,4,디모데후서
64,NEW,디도서,Titus,https://www.youtube.com/watch?v=tdTrkbn8plI,바울,3,디도서
65,NEW,빌레몬서,Philemon,https://www.youtube.com/watch?v=FF52ylLRH3g,바울,1,빌레몬서
66,NEW,히브리서,Hebrews,https://www.youtube.com/watch?v=_y4X0Y1nu5E,미상(바울설 등),13,히브리서
67,NEW,야고보서,James,https://www.youtube.com/watch?v=PKic-DpY3O4,야고보,5,야고보서
68,NEW,베드로전서,1 Peter,https://www.youtube.com/watch?v=5te24c_61aI,베드로,5,베드로전서
69,NEW,베드로후서,2 Peter,https://www.youtube.com/watch?v=Ii-v2hGv-zk,베드로,3,베드로후서
70,NEW,요한1-3서,1-3 John,https://www.youtube.com/watch?v=cMKPbDZhToo,요한,3,요한1-3서
71,NEW,유다서,Jude,https://www.youtube.com/watch?v=ggYH-spyKHY,유다,1,유다서
72,NEW,요한계시록 1-11,Revelation 1-11,https://www.youtube.com/watch?v=ue4ZFykrMJ8,요한,11,요한계시록 1-11
73,NEW,요한계시록 12-22,Revelation 12-22,https://www.youtube.com/watch?v=TV36boVNZOk,요한,11,요한계시록 12-22
